Heuristic	Max Time	SD	Time
13808.0	13808.0	2773.614881378466	1472
10961.0	10961.0	732.3182635874064	1527
14202.0	14202.0	2069.5076279252553	1116
13298.0	13298.0	2581.7659265688353	1241
11509.0	11509.0	951.018629831043	1527
11474.0	11474.0	694.2684668639595	2052
12219.0	12219.0	664.4239499793207	1935
13681.0	13681.0	1930.2795077291744	1046
12752.0	12752.0	1900.0688747989086	1353
13367.0	13367.0	3120.081193606006	560
12132.0	12132.0	842.4828602386626	1465
12707.0	12707.0	857.0475958968979	2689
12203.0	12203.0	392.70251502393296	1985
11251.0	11251.0	1170.1490798097443	943
13228.0	13228.0	2069.8919266868174	1643
10487.0	10487.0	416.80906459256664	2186
11949.0	11949.0	609.3638824417553	2449
11700.0	11700.0	532.5781042653339	1979
13366.0	13366.0	2654.995092120449	793
11874.0	11874.0	649.5371903383617	1669
13931.0	13931.0	2525.7509086711343	668
12108.0	12108.0	802.648056403914	1671
11207.0	11207.0	688.7279739061107	1309
12046.0	12046.0	2224.5556423974767	797
12953.0	12953.0	2787.865998961081	454
12901.0	12901.0	1573.0243856848447	1967
13037.0	13037.0	2685.676937430281	669
11346.0	11346.0	1437.239758732562	1201
12876.0	12876.0	508.6988139020042	3222
12046.0	12046.0	1292.6759855715852	2376
11963.0	11963.0	931.2125518562843	1780
12244.0	12244.0	1306.9877541078013	1690
12800.0	12800.0	2442.2835283933	1372
11525.0	11525.0	1608.4811261128386	822
11412.0	11412.0	1331.0322316280149	1721
11674.0	11674.0	782.9774049962704	2017
11757.0	11757.0	1681.3710975733768	716
11227.0	11227.0	654.2228257362207	1853
15257.0	15257.0	3278.2458522440174	193
11994.0	11994.0	1418.4360207277455	1187
12357.0	12357.0	872.1255582699977	2067
11521.0	11521.0	410.254686948566	1928
12250.0	12250.0	1356.9321640963428	1232
11721.0	11721.0	688.1021889581372	1650
11184.0	11184.0	547.2289242266017	2088
11706.0	11706.0	711.8282285346481	1590
12732.0	12732.0	1520.2656890511355	2119
11128.0	11128.0	787.882557289875	1410
12230.0	12230.0	794.1199284845625	2243
12831.0	12831.0	2609.0710227267964	737
11973.0	11973.0	761.2426200171745	2161
11574.0	11574.0	477.00769514179717	2055
12498.0	12498.0	518.9426707356066	2118
17345.0	17345.0	3796.892036432762	105
12160.0	12160.0	1946.6633909207367	1248
12643.0	12643.0	2216.371484095165	869
12608.0	12608.0	994.2487012815247	2020
11761.0	11761.0	772.2022797274859	2003
12219.0	12219.0	1029.4637367610974	1671
12040.0	12040.0	535.5045593281392	2105
12746.0	12746.0	2705.4774840561317	590
10938.0	10938.0	380.6871638690933	2296
12798.0	12798.0	2529.6554303553935	838
15963.0	15963.0	3989.4674865864763	152
11376.0	11376.0	1237.2692175653178	1650
11118.0	11118.0	905.39622626263	1416
11176.0	11176.0	705.2974465877961	1706
12178.0	12178.0	1415.9665561598777	1238
13043.0	13043.0	2285.053960779366	1039
11699.0	11699.0	790.9796945199395	2046
11785.0	11785.0	611.9169708250242	1969
11234.0	11234.0	427.9475501907747	1802
12073.0	12073.0	1515.874467905895	1184
11018.0	11018.0	593.1955027558757	1681
12158.0	12158.0	1353.3372803132684	1086
12498.0	12498.0	1726.5990836063254	1441
12649.0	12649.0	2146.6810252297923	1039
13151.0	13151.0	2382.9405474440737	901
12082.0	12082.0	490.98564923539465	1832
12503.0	12503.0	945.9067382945423	1967
10370.0	10370.0	460.8503480147391	1832
13350.0	13350.0	2413.2541376865443	1164
11260.0	11260.0	343.4600651116961	2096
12633.0	12633.0	1892.4927175876917	1497
10865.0	10865.0	949.0000030106878	1193
12250.0	12250.0	1596.8853036649891	1623
14073.0	14073.0	2501.8865564258676	1074
12198.0	12198.0	1305.4856975588098	1651
13143.0	13143.0	686.4084878881512	2443
12766.0	12766.0	652.9763095368208	2055
12475.0	12475.0	602.6373753115953	2594
11603.0	11603.0	399.4843211656032	2012
11420.0	11420.0	443.27234729627673	1691
13437.0	13437.0	2269.785219453369	787
11496.0	11496.0	428.5199211905357	2027
12072.0	12072.0	637.3637298133875	2746
12819.0	12819.0	1852.7445456480423	1037
12144.0	12144.0	1068.934602149949	1541
13530.0	13530.0	2788.0729520072255	663
12271.0	12271.0	1308.5837622625234	1840
