Heuristic	Max Time	SD	Time
13808.0	13808.0	2773.614881378466	2068
10961.0	10961.0	732.3182635874064	2822
12785.0	12785.0	356.8503373478944	4194
13298.0	13298.0	2585.995992941639	1799
11509.0	11509.0	951.018629831043	2404
11811.0	11811.0	1391.8180293913335	2399
12105.0	12105.0	632.6133474302757	2852
13681.0	13681.0	1930.2795077291744	1826
12752.0	12752.0	2011.9948497722862	1892
13367.0	13367.0	3120.081193606006	839
12190.0	12190.0	1132.6322738449148	2342
12707.0	12707.0	857.0475958968979	4130
12122.0	12122.0	361.14737791022196	3189
11251.0	11251.0	1170.1490798097443	1664
12279.0	12279.0	753.7311069822267	3757
10442.0	10442.0	497.7588995094077	3465
11940.0	11940.0	743.8684873891434	3711
11385.0	11385.0	404.66871106410673	3590
13366.0	13366.0	2654.995092120449	1150
11874.0	11874.0	547.3266103227095	2634
13931.0	13931.0	2525.7509086711343	1003
11729.0	11729.0	660.0731870367847	3042
11207.0	11207.0	688.7279739061107	1809
12046.0	12046.0	2224.5556423974767	1154
12953.0	12953.0	2787.865998961081	653
12901.0	12901.0	1573.0243856848447	2940
12854.0	12854.0	2552.613706835903	1039
11346.0	11346.0	1437.239758732562	1714
12876.0	12876.0	508.6988139020042	4973
11984.0	11984.0	815.0281918249133	3077
11963.0	11963.0	931.2125518562843	2572
12244.0	12244.0	1362.0158566909386	2234
12800.0	12800.0	2442.2835283933	2012
11525.0	11525.0	1608.4811261128386	1204
11412.0	11412.0	1331.0322316280149	2524
11332.0	11332.0	312.1582696423761	3759
11757.0	11757.0	1681.3710975733768	1049
10908.0	10908.0	323.15378281390844	3341
15257.0	15257.0	3278.2458522440174	283
11994.0	11994.0	1420.2481744902389	1685
12247.0	12247.0	840.7063541317807	3018
11418.0	11418.0	609.6387250675933	2980
12250.0	12250.0	1356.9321640963428	1786
11721.0	11721.0	688.1021889581372	2362
11203.0	11203.0	529.0354985967489	3045
11633.0	11633.0	582.1498050417986	2461
14183.0	14183.0	2915.060170835559	1466
11128.0	11128.0	787.882557289875	2047
12434.0	12434.0	1438.3924382902646	2666
12831.0	12831.0	2609.0710227267964	1085
11467.0	11467.0	300.100868076732	4249
11546.0	11546.0	434.7753578996111	3092
12157.0	12157.0	309.4237732117099	3857
17345.0	17345.0	3796.892036432762	157
12160.0	12160.0	1946.6633909207367	1898
12643.0	12643.0	2216.371484095165	1260
12608.0	12608.0	1322.1254608718923	2884
11657.0	11657.0	645.3685575715948	3128
12219.0	12219.0	1084.6929686904632	2343
12040.0	12040.0	535.5045593281392	3139
12746.0	12746.0	2684.268517849577	809
10971.0	10971.0	488.4021431867266	3091
11252.0	11252.0	479.72293236485433	2949
15963.0	15963.0	3989.4674865864763	222
11366.0	11366.0	1236.2020654126945	2498
11036.0	11036.0	702.3740293766967	2373
11176.0	11176.0	705.2974465877961	2529
12178.0	12178.0	1387.803979718479	1857
13043.0	13043.0	2285.053960779366	1533
11682.0	11682.0	522.2442934497383	2845
11464.0	11464.0	630.3568811007148	3579
11234.0	11234.0	427.9475501907747	2596
12073.0	12073.0	1515.874467905895	1660
10797.0	10797.0	720.114675958359	2309
12158.0	12158.0	1353.3372803132684	1545
12498.0	12498.0	1726.5990836063254	2064
12649.0	12649.0	2146.6810252297923	1499
13151.0	13151.0	2382.9405474440737	1332
12082.0	12082.0	490.98564923539465	2666
12503.0	12503.0	945.9067382945423	2892
10266.0	10266.0	436.60487951502137	2863
12562.0	12562.0	1755.6734525066825	2289
11095.0	11095.0	432.750114538001	3164
12633.0	12633.0	1892.4927175876917	2197
10847.0	10847.0	726.8048052248686	1850
11958.0	11958.0	868.4285935186707	3020
14073.0	14073.0	2505.6233823712846	1614
12198.0	12198.0	1305.4856975588098	2426
12878.0	12878.0	633.3990459643678	3586
12435.0	12435.0	523.8784030903444	3669
12177.0	12177.0	467.2158527503369	4062
11603.0	11603.0	485.4388395449788	2824
11420.0	11420.0	443.27234729627673	2473
13437.0	13437.0	2269.785219453369	1161
11431.0	11431.0	503.7973288649202	3281
12078.0	12078.0	582.1828298283442	4022
12819.0	12819.0	2039.8569802807256	1441
12290.0	12290.0	1740.1826112245126	1735
13530.0	13530.0	2788.0729520072255	964
12271.0	12271.0	1308.5837622625234	2673
